[INFO]- ################################################################################################
[INFO]- #                         _       ______   ________  ____    ____  _____                       #
[INFO]- #                        / \     |_   _ \ |_   __  ||_   \  /   _||_   _|                      #
[INFO]- #                       / _ \      | |_) |  | |_ \_|  |   \/   |    | |                        #
[INFO]- #                      / ___ \     |  __'.  |  _|     | |\  /| |    | |   _                    #
[INFO]- #                    _/ /   \ \_  _| |__) |_| |_     _| |_\/_| |_  _| |__/ |                   #
[INFO]- #                   |____| |____||_______/|_____|   |_____||_____||________|                   #
[INFO]- #                                                                                              #
[INFO]- ################################################################################################
[INFO]- num_threads : 1
[INFO]- +-------------------------------------- train data file ---------------------------------------+
[INFO]- | ################ file name ############### Atom number ## nframes ######### Element ######## |
[INFO]- | Train Iters:    67 ,Loss: 1.09e+00 ,Time: 0.100 ,E_tot: 6.43e-02 ,Force: 1.47e-01 ,Virial: 8.81e-01
[INFO]- | Train Iters:    68 ,Loss: 1.03e+00 ,Time: 0.097 ,E_tot: 4.75e-02 ,Force: 1.74e-01 ,Virial: 8.09e-01
[INFO]- | Train Iters:    69 ,Loss: 9.22e-01 ,Time: 0.101 ,E_tot: 3.47e-02 ,Force: 1.79e-01 ,Virial: 7.08e-01
[INFO]- | Train Iters:    70 ,Loss: 9.24e-01 ,Time: 0.092 ,E_tot: 2.20e-02 ,Force: 1.75e-01 ,Virial: 7.27e-01
[INFO]- | Train Iters:    71 ,Loss: 8.91e-01 ,Time: 0.088 ,E_tot: 1.16e-02 ,Force: 1.76e-01 ,Virial: 7.03e-01
[INFO]- | Train Iters:    72 ,Loss: 9.99e-01 ,Time: 0.096 ,E_tot: 4.51e-03 ,Force: 1.50e-01 ,Virial: 8.44e-01
[INFO]- | Train Iters:    73 ,Loss: 9.48e-01 ,Time: 0.092 ,E_tot: 2.62e-03 ,Force: 1.55e-01 ,Virial: 7.90e-01
[INFO]- | Train Iters:    74 ,Loss: 8.76e-01 ,Time: 0.093 ,E_tot: 9.69e-03 ,Force: 1.76e-01 ,Virial: 6.90e-01
[INFO]- | Train Iters:    75 ,Loss: 9.53e-01 ,Time: 0.093 ,E_tot: 2.25e-02 ,Force: 1.65e-01 ,Virial: 7.65e-01
[INFO]- | Train Iters:    76 ,Loss: 9.51e-01 ,Time: 0.089 ,E_tot: 2.57e-02 ,Force: 1.64e-01 ,Virial: 7.62e-01
[INFO]- | Train Iters:    77 ,Loss: 8.65e-01 ,Time: 0.096 ,E_tot: 1.86e-02 ,Force: 1.74e-01 ,Virial: 6.72e-01
[INFO]- | Train Iters:    78 ,Loss: 8.42e-01 ,Time: 0.092 ,E_tot: 1.23e-02 ,Force: 1.71e-01 ,Virial: 6.58e-01
[INFO]- | Train Iters:    79 ,Loss: 8.21e-01 ,Time: 0.097 ,E_tot: 1.52e-02 ,Force: 1.72e-01 ,Virial: 6.34e-01
[INFO]- | Train Iters:    80 ,Loss: 8.29e-01 ,Time: 0.097 ,E_tot: 1.31e-02 ,Force: 1.71e-01 ,Virial: 6.46e-01
[INFO]- | Train Iters:    81 ,Loss: 9.07e-01 ,Time: 0.089 ,E_tot: 7.55e-03 ,Force: 1.55e-01 ,Virial: 7.44e-01
[INFO]- | Train Iters:    82 ,Loss: 8.47e-01 ,Time: 0.094 ,E_tot: 7.02e-03 ,Force: 1.66e-01 ,Virial: 6.74e-01
[INFO]- | Train Iters:    83 ,Loss: 8.75e-01 ,Time: 0.096 ,E_tot: 1.88e-02 ,Force: 1.63e-01 ,Virial: 6.93e-01
[INFO]- | Train Iters:    84 ,Loss: 9.49e-01 ,Time: 0.094 ,E_tot: 2.93e-02 ,Force: 1.39e-01 ,Virial: 7.81e-01
[INFO]- | Train Iters:    85 ,Loss: 8.16e-01 ,Time: 0.092 ,E_tot: 3.05e-02 ,Force: 1.62e-01 ,Virial: 6.23e-01
[INFO]- | Train Iters:    86 ,Loss: 9.10e-01 ,Time: 0.089 ,E_tot: 2.72e-02 ,Force: 1.43e-01 ,Virial: 7.40e-01
[INFO]- | Train Iters:    87 ,Loss: 9.17e-01 ,Time: 0.089 ,E_tot: 2.77e-02 ,Force: 1.35e-01 ,Virial: 7.54e-01
[INFO]- | Train Iters:    88 ,Loss: 8.37e-01 ,Time: 0.092 ,E_tot: 3.72e-02 ,Force: 1.57e-01 ,Virial: 6.42e-01
[INFO]- | Train Iters:    89 ,Loss: 8.55e-01 ,Time: 0.092 ,E_tot: 6.54e-02 ,Force: 1.57e-01 ,Virial: 6.32e-01
[INFO]- | Train Iters:    90 ,Loss: 9.15e-01 ,Time: 0.088 ,E_tot: 7.54e-02 ,Force: 1.54e-01 ,Virial: 6.85e-01
[INFO]- | Train Iters:    91 ,Loss: 9.23e-01 ,Time: 0.088 ,E_tot: 7.46e-02 ,Force: 1.28e-01 ,Virial: 7.20e-01
[INFO]- | Train Iters:    92 ,Loss: 9.11e-01 ,Time: 0.088 ,E_tot: 9.06e-02 ,Force: 1.47e-01 ,Virial: 6.73e-01
